gene	EarlyMean	PreMeiMean	MeiMean	DICMean
MEGF8	0.115929264909848	0.73978835978836	5.41009852216749	4.89826086956522
MEGF9	1.3503120665742	4.46396825396825	23.6902463054187	4.48739130434783
MEI1	0.0132316227461859	65.8504761904762	137.481625615764	19.9845962732919
MEI4	0	0	0.434802955665025	2.15844720496895
MEIG1	0	3.40973544973545	18.1566748768473	11.5255279503106
MEIKIN	0	17.7451851851852	250.561625615764	107.516708074534
MEIOB	5.53172676837725	11.6418518518519	243.868620689655	17.8795031055901
MEIS1	0.125402219140083	81.2544973544974	12.7910098522167	3.46826086956522
MEIS1-AS2	0	0	0	0
MEIS1-AS3	0	0	0	0
MEIS2	0.25001386962552	122.927724867725	26.0295566502463	1.30857142857143
MEIS3	0	0	0	0.0522981366459629
MEIS3P1	0	0	0.0178571428571429	0
MELK	42.0264355062413	48.9261904761905	38.1105172413793	17.5868322981366
MEMO1	21.5859847434119	19.9514814814815	78.0131527093596	57.5055900621118
MEN1	5.39181692094314	7.38597883597884	6.67288177339902	8.9536645962733
MEOX1	0	0	0	0
MEOX2	0	0	0	0
MEOX2-AS1	0	0	0	0
MEP1A	0	0	0	0
MEP1B	0	0	0	0
MEPCE	7.7626213592233	15.4497883597884	19.3867980295567	28.0663354037267
MEPE	0	0	0	0
MERTK	0	0.557671957671958	16.1953201970443	2.88689440993789
MESDC1	0.369153952843274	1.98984126984127	0.605665024630542	1.81385093167702
MESDC2	332.073682385576	202.979417989418	161.757093596059	147.170621118012
MESP1	0	8.71857142857143	5.49598522167488	31.6788198757764
MESP2	0	0	0	0.722795031055902
MEST	41.0040291262136	94.1013756613757	61.8834482758621	108.941614906832
MESTIT1	0	0	0	0
MET	0	0.0195238095238096	0.316674876847291	0
METAP1	48.1288904299584	90.8795238095238	33.3615270935961	29.7273291925466
METAP1D	3.80165048543689	1.05962962962963	0.324630541871922	0.66472049689441
METAP2	234.182184466019	332.648518518519	612.224162561576	391.784658385093
METRN	0.217385575589459	12.2974603174603	0.235418719211823	0.133354037267081
METRNL	0	0.268253968253969	0.089088669950739	0
METTL1	57.5318654646325	26.0234920634921	14.7433990147783	30.3804968944099
METTL10	26.1653259361997	67.2899470899471	84.2131280788177	28.5054658385093
METTL11B	0	0	0	0
METTL12	4.90721914008322	0.595767195767196	0.501995073891626	1.11745341614907
METTL13	14.9605963938974	16.5600529100529	16.8163054187192	19.7719875776398
METTL14	38.9777323162275	37.1857142857143	102.406773399015	77.9155279503106
METTL15	2.84895977808599	15.9162433862434	22.5463300492611	6.84155279503106
METTL16	91.3283079056865	50.6509523809524	19.595960591133	14.5560248447205
METTL17	4.64205270457698	3.71962962962963	2.52834975369458	2.84509316770186
METTL18	19.5589459084605	7.14179894179894	20.556157635468	23.496149068323
METTL20	2.38701803051318	7.40015873015873	1.30913793103448	1.96888198757764
METTL21A	195.05726074896	130.889365079365	162.782610837438	116.158385093168
METTL21B	0.00255201109570045	0.0195238095238096	0.00359605911330051	0
METTL21C	0	0	0	0
METTL21EP	0	0	0	0
METTL22	11.6545561719834	12.3697883597884	18.3466748768473	33.316397515528
METTL23	83.1645769764216	100.466772486772	105.326059113301	97.5282608695652
METTL24	0	0	0	0
METTL25	14.6726074895978	32.092328042328	28.140763546798	14.8190062111801
METTL2A	31.2165464632455	18.5057671957672	17.209039408867	13.5032919254658
METTL2B	39.4549098474341	16.2860846560847	6.67472906403941	8.57304347826087
METTL3	1.98909847434119	5.15005291005291	4.64795566502463	3.83478260869565
METTL4	9.30087378640777	5.75259259259259	5.91687192118227	4.70062111801243
METTL5	168.214979195562	149.890211640212	105.469679802956	124.686397515528
METTL6	22.2719625520111	14.5392592592593	10.862881773399	17.8915527950311
METTL7A	0	0	0	0.188633540372671
